,Screening,Title,Abstract,Keywords
0,excluded,Responses of a rice-wheat rotation agroecosystem to experimental warming,"Climate change is likely to affect agroecosystems in many ways. This study was performed to investigate how a rice-winter wheat rotation agroecosystem in southeast China would respond to global warming. By using an infrared heater system, the soil surface temperature was maintained about 1.5 A degrees C above ambient milieu over 3 years. In the third growing season (2009-2010), the evapotranspiration (ET) rate, crop production, soil respiration, and soil carbon pool were monitored. The ET rate was 23 % higher in the warmed plot as compared to the control plot during the rice paddy growing season, and the rice grain yield was 16.3 % lower, but there was no significant difference in these parameters between the plots during the winter wheat-growing season. The phenology of the winter wheat shifted under experimental warming, and ET may decrease late in the winter wheat-growing season. Experimental warming significantly enhanced soil respiration, with mean annual soil respiration rates of 2.57 +/- A 0.17 and 1.96 +/- A 0.06 mu mol CO2 m(-2) s(-1) observed in the warmed and control plots, respectively. After 3 years of warming, a significant decrease in the total organic carbon was observed, but only in the surface soil (0-5 cm). Warming also stimulated the belowground biomass, which may have compensated for any heat-induced loss of soil organic carbon. Paddy rice seemed to be more vulnerable to warming than winter wheat in terms of water-use efficiency and grain production.",
1,excluded,The number of cycles of neoadjuvant chemotherapy is associated with prognosis of stage iiic-iv high-grade serous ovarian cancer,"Objective No consensus exists on the number of chemotherapy cycles to be administered before and after interval debulking surgery (IDS) in patients with advanced stage epithelial ovarian cancer. The present study aims to explore the optimal number of cycles of neoadjuvant chemotherapy (NAC) and post-operation chemotherapy to treat the International Federation of Gynecology and Obstetrics stage IIIc-IV high-grade serous ovarian cancer (HG-SOC). Materials and Methods A total of 129 IIIc-IV stage HGSOC cases were retrospectively analyzed. Cases were comprised of patients who underwent NAC followed by IDS and who achieved clinical complete response (CCR) at the end of primary therapy. Patients were recruited from the Jiangsu Institute of Cancer Research between 1993 and 2013. Optimal IDS-associated factors were explored with logistic regression. The association between progressionfree survival (PFS), overall survival (OS) duration, and covariates was assessed by Cox proportional hazards model and log-rank test. Results The median number of NAC cycle was 3 (range 1-8). CA-125 decreasing kinetics (p = 0.01) was independently associated with optimal IDS. CA-125 decreasing kinetics, optimal IDS, and NAC cycles was independently associated with OS (p < 0.01, p < 0.01, p = 0.03, respectively) and PFS (p < 0.01, p < 0.01, p = 0.04, respectively). The PFS of patients who underwent >= 5 NAC cycles was shorter than those of patients who underwent <5 NAC cycles (12.3 versus 17.2 months). The PFS and OS of patients who underwent < 5 cycles of adjuvant chemotherapy post-IDS were shorter than those of patients who underwent C5 cycles (14.2 and 20.3 versus 21.2 and 28.8 months). Conclusion NAC cycles, CA-125 decreasing kinetics, and optimal debulking are independently associated with the prognosis of patients with advanced stage HG-SOC who underwent NAC/IDS and achieved CCR. The number of administered NAC cycles should not exceed 4.",High-grade serous ovarian cancer (HG-SOC); CA-125; Neoadjuvant chemotherapy (NAC); Interval debulking surgery (IDS); Clinical complete response (CCR)
2,excluded,Carbon cycling in temperate grassland under elevated temperature,"An increase in mean soil surface temperature has been observed over the last century, and it is predicted to further increase in the future. The effect of increased temperature on ecosystem carbon fluxes in a permanent temperate grassland was studied in a long-term (6years) field experiment, using multiple temperature increments induced by IR lamps. Ecosystem respiration (R-eco) and net ecosystem exchange (NEE) were measured and modeled by a modified Lloyd and Taylor model including a soil moisture component for R-eco (average R-2 of 0.78) and inclusion of a photosynthetic component based on temperature and radiation for NEE (R-2=0.65). Modeled NEE values ranged between 2.3 and 5.3kg CO(2)m(-2)year(-1), depending on treatment. An increase of 2 or 3 degrees C led to increased carbon losses, lowering the carbon storage potential by around 4tonnes of C ha(-1)year(-1). The majority of significant NEE differences were found during night-time compared to daytime. This suggests that during daytime the increased respiration could be offset by an increase in photosynthetic uptake. This was also supported by differences in C-13 and O-18, indicating prolonged increased photosynthetic activity associated with the higher temperature treatments. However, this increase in photosynthesis was insufficient to counteract the 24h increase in respiration, explaining the higher CO2 emissions due to elevated temperature.",CO; (2); elevated temperature; grassland; heating; isotopes; net ecosystem exchange; respiration
3,included,How can straw incorporation management impact on soil carbon storage? A meta-analysis,"Straw incorporation (SI) is a common practice in China and has important implications for agricultural sustainability. This study aimed to quantitatively summarise the response of top soil (0-20 cm) carbon (C) to SI under different agricultural management regimes. Results indicated that compared with straw removal (SR), SI significantly increased soil C storage by 12 %. Moreover, incorporation of chopped straw with tillage treatment (ploughing and rotary tillage) increased C storage compared to unchopped straw without tillage treatment. SI implementation with upland cropping, in the northwest and northeast resulted in higher C storage compared with rice cropping, and in the northern and southern regions. Changes in soil C were observed based on SI variables, including tillage and straw amounts in fine-textured soils, however straw amount rather than tillage treatment exhibited a greater influence on soil C in coarse-textured soils. We concluded SI implementation with increased amounts of chopped straw for a longer duration was favourable to soil C sequestration in Chinese croplands. Furthermore, we estimated if SI was popularised across all of China's agricultural regions, soil C sequestration potential would reach 48.2 similar to 56.2 Tg C year(-1). SI practices should therefore be encouraged.",China; Meta analysis; Soil carbon (C) sequestration; Soil carbon storage; Straw incorporation
4,excluded,Comparison of prescribing criteria to evaluate the appropriateness of drug treatment in individuals aged 65 and older: a systematic review,"Because inappropriate prescribing is prevalent in individuals aged 65 and older, various criteria to assess it have been developed. This study's aim was to systematically review articles that describe criteria for assessing inappropriate prescribing in individuals aged 65 and older and to define the circumstances of their use (explicit/implicit), origins, development processes, and content. A systematic search was conducted on MEDLINE and PubMed (1990-2010) and augmented with a manual search. Original articles written in English were included if they described the development of the criteria and were aimed at people aged 65 and older. Articles that described criteria applicable only in hospital settings, specific drugs, or a particular disease or condition were excluded. Sixteen of 535 articles met the inclusion criteria. They described 14 criteria, half originating in the United States. The English-language restriction limited the search results. Most criteria were explicit, consensus validated, based totally or partly on Beers criteria, and focused on pharmacological appropriateness of prescribing and some were old. Drug-and disease-oriented explicit criteria require regular updating and are country specific. Implicit, person-specific criteria are universal and do not need updating, although their use requires up-to-date professional skills. Unlike explicit criteria, implicit criteria have been validated in people. Some of the 14 criteria were noncomprehensive, mainly because of the intended purpose. To conclude, different criteria exist for optimizing prescribing for individuals aged 65 and older. Possible deficiencies must be recognized and trade-offs made when selecting criteria for use. In the future, more-comprehensive and - timely criteria are needed. J Am Geriatr Soc 59:1521-1530, 2011.",
5,included,Responses of microbial biomass carbon and nitrogen to experimental warming: A meta-analysis,"Soil microbes play important roles in regulating terrestrial carbon and nitrogen cycling and strongly influence feedbacks of ecosystems to global warming. However, the inconsistent responses of microbial biomass carbon (MBC) and nitrogen (MBN) to experimental warming have been observed, and the response ratio between MBC and MBN (MBC:MBN) has not been identified. This meta-analysis synthesized warming experiments at 58 sites globally to investigate the responses of MBC:MBN to climate warming. Our results showed that warming significantly increased MBC by 3.61 +/- 0.80% and MBN by 5.85 +/- 0.90% and thus decreased the MBC:MBN by 3.34 +/- 0.66%. MBC showed positive responses to warming but MBN exhibited negative responses to warming at low warming magnitude (<1 degrees C); however, at high warming magnitude (>2 degrees C) the results were inverted. The different effects of warming magnitude on microbial biomass resulted from the warming -induced decline in soil moisture and substrate supply. Moreover, MBC and MBN had strong positive responses to warming at the mid-term (3-4 years) or short-term (1-2 years) duration, but the responses tended to decrease at long-term (>= 5 years) warming duration. This study fills the knowledge gap on the responses of MBC:MBN to warming and may benefit the development of coupled carbon and nitrogen models. (C) 2017 Elsevier Ltd. All rights reserved.",Microbial biomass carbon; Microbial biomass nitrogen; Climate warming; Temperature sensitivity; Meta-analysis
6,excluded,Are active organic matter fractions suitable indices of management effects on soil carbon? A meta-analysis of data from the Pampas,"Active fractions of organic matter have been proposed as early indices of changes in soil organic carbon (organic-C) induced by management. We performed a meta-analysis of published results from 31 field experiments conducted in the Pampas in which tillage and rotation effects on organic-C, microbial biomass carbon (microbial-C), light fraction carbon (light-C), particulate carbon (particulate-C) and basal respiration (mineralized-C) were assessed. We compared the changes of organic-C and the four active fractions between management treatments sampled at the same date and depth within each experiment. Pooling all the experiments, active fractions-C varied on average 1.2- to 3.0-fold more than organic-C, depending on the fraction considered, but these average changes were significantly greater than organic-C changes only for particulate-C. This later fraction showed to be more sensitive to agricultural practices than organic-C. In experiments in which organic-C changes were lower than 15-25%, the four labile fractions may show opposite trends than organic-C. Above this threshold, changes of active fractions generally copied organic-C changes and were greater. Consequently, the active fractions may be used as indicators of changes in organic-C only when this latter variable has already suffered a huge change. In these cases, it will be easier to simply measure organic-C.",Active fractions of organic matter; microbial biomass; light organic fraction; particulate carbon; basal respiration
7,included,Long-term nitrogen fertilization decreases bacterial diversity and favors the growth of Actinobacteria and Proteobacteria in agro-ecosystems across the globe,"Long-term elevated nitrogen (N) input from anthropogenic sources may cause soil acidification and decrease crop yield, yet the response of the belowground microbial community to long-term N input alone or in combination with phosphorus (P) and potassium (K) is poorly understood. We explored the effect of long-term N and NPK fertilization on soil bacterial diversity and community composition using meta-analysis of a global dataset. Nitrogen fertilization decreased soil pH, and increased soil organic carbon (C) and available N contents. Bacterial taxonomic diversity was decreased by N fertilization alone, but was increased by NPK fertilization. The effect of N fertilization on bacterial diversity varied with soil texture and water management, but was independent of crop type or N application rate. Changes in bacterial diversity were positively related to both soil pH and organic C content under N fertilization alone, but only to soil organic C under NPK fertilization. Microbial biomass C decreased with decreasing bacterial diversity under long-term N fertilization. Nitrogen fertilization increased the relative abundance of Proteobacteria and Actinobacteria, but reduced the abundance of Acidobacteria, consistent with the general life history strategy theory for bacteria. The positive correlation between N application rate and the relative abundance of Actinobacteria indicates that increased N availability favored the growth of Actinobacteria. This first global analysis of long-term N and NPK fertilization that differentially affects bacterial diversity and community composition provides a reference for nutrient management strategies for maintaining belowground microbial diversity in agro-ecosystems worldwide.",Actinobacteria; agro-ecosystems; bacterial diversity; community composition; microbial biomass; N fertilization
8,excluded,Comt and mthfr polymorphisms interaction on cognition in schizophrenia: an exploratory study,"The investigation of the catechol-O-methyltransferase (COMT-[rs4680]) and methylenetetrahydrofolate reductase (MTHFR-[rs1801133]) polymorphisms' interaction might shed light into the pathogenetic mechanisms of the cognitive dysfunction in schizophrenia. In an exploratory study, we hypothesized that the MTHFR 677T allele which has been related to a hypoactive MTHFR enzyme would augment the unfavorable effects of COMT Val158 homozygosity which has been associated with COMT enzyme hyperfunction. 90 schizophrenia patients and 55 healthy volunteers were assessed on psychomotor speed, pattern and spatial recognition memory (SRM), spatial working memory (SWM), attentional flexibility and planning (Stockings of Cambridge-SOC). IQ scores in a random subgroup of patients were also measured. A significant COMT x MTHFR interaction on SWM (p = 0.048) and planning (p = 0.026) was revealed in both groups. Among COMT-Val/Val participants, MTHFR-C/C made more SWM errors (p = 0.033) and solved fewer SOC problems (p = 0.025) than MTHFR-T carriers. In patients, there was a significant COMT x MTHFR interaction on full scale IQ (p = 0.035): among COMT-Met carriers, MTHFR-T carriers performed significantly worse than MTHFR-C/C (p = 0.021), which was driven by a COMT x MTHFR interaction involving performance IQ(p = 0.047). In conclusion, COMT and MTHFR polymorphisms interacted on cognition, suggesting that the MTHFR enzyme activity might moderate the effects of the COMT enzyme. In contrast to our initial hypothesis, the MTHFRT-allele attenuated the cognitive effects of COMT Val homozygosity. In this preliminary study, we propose that dopaminergic and intracellular methylation mechanisms could interact on cognitive deficits in schizophrenia. (c) 2013 Elsevier Ireland Ltd. All rights reserved.",
9,excluded,Global-scale pattern of peatland sphagnum growth driven by photosynthetically active radiation and growing season length,"High-latitude peatlands contain about one third of the world's soil organic carbon, most of which is derived from partly decomposed Sphagnum (peat moss) plants. We conducted a meta-analysis based on a global data set of Sphagnum growth measurements collected from published literature to investigate the effects of bioclimatic variables on Sphagnum growth. Analysis of variance and general linear models were used to relate Sphagnum magellanicum and S. fuscum growth rates to photosynthetically active radiation integrated over the growing season (PAR0) and a moisture index. We found that PAR0 was the main predictor of Sphagnum growth for the global data set, and effective moisture was only correlated with moss growth at continental sites. The strong correlation between Sphagnum growth and PAR0 suggests the existence of a global pattern of growth, with slow rates under cool climate and short growing seasons, highlighting the important role of growing season length in explaining peatland biomass production. Large-scale patterns of cloudiness during the growing season might also limit moss growth. Although considerable uncertainty remains over the carbon balance of peatlands under a changing climate, our results suggest that increasing PAR0 as a result of global warming and lengthening growing seasons, without major change in cloudiness, could promote Sphagnum growth. Assuming that production and decomposition have the same sensitivity to temperature, this enhanced growth could lead to greater peat-carbon sequestration, inducing a negative feedback to climate change.",
